"phrase","id","phoneme","stress","type","inherent_ms","before_floor_ms","after_floor_ms","before_ms","after_ms","delta_ms","source","rules"
"The quick brown fox jumps over the lazy dog.","segment_0","DH","","fricative","70","42","42","72","72","0","{""source"":""DH"",""minimum_ms"":30,""inherent_ms"":50,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; word_initial_lengthening; cluster_shortening; duration_cap; fricative_minimum_duration; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_1","AH","0","vowel","50","21","10.714285714285714","37","33","-4","{""source"":""AH"",""minimum_ms"":60,""inherent_ms"":140,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_2:remap_stops_to_closures:0","K_CL","","stop_closure","60","36","45","59","59","0","{""source"":""KK"",""minimum_ms"":60,""inherent_ms"":80,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","remap_stops_to_closures; remap_stops_to_closures; word_initial_lengthening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_2:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:0","K_REL","","stop_release","12.951807228915664","0","0","13","13","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"The quick brown fox jumps over the lazy dog.","segment_2:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:1","K_ASP","","stop_aspiration","30.048192771084338","0","0","30","30","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"The quick brown fox jumps over the lazy dog.","segment_2:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:2","W","","glide","80","48","60","63","69","6","{""source"":""WW"",""minimum_ms"":60,""inherent_ms"":80,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","insert_mapped_voiceless_release_and_aspiration; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_4","IH","1","vowel","100","42","29.62962962962963","102","103","1","{""source"":""IH"",""minimum_ms"":40,""inherent_ms"":135,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; accent_vowel_lengthening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_5:remap_stops_to_closures:0","K_CL","","stop_closure","60","36","45","49","54","5","{""source"":""KK"",""minimum_ms"":60,""inherent_ms"":80,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","remap_stops_to_closures; remap_stops_to_closures; non_word_initial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_6:remap_stops_to_closures:0","B_CL","","stop_closure","45","27","31.764705882352942","44","44","0","{""source"":""BB"",""minimum_ms"":60,""inherent_ms"":85,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","remap_stops_to_closures; remap_stops_to_closures; word_initial_lengthening; cluster_shortening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_6:remap_stops_to_closures:0:insert_mapped_voiced_release:0","B_REL","","stop_release","5","0","0","5","5","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiced_release; insert_mapped_voiced_release; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
